idx,n,w,sw,ln
9064,60,558305539.5666667,9929.33934587451,16.64594919399031
9066,60,260648275.88333333,8558.70508964842,16.55830582694098
1980,60,289489411.1333333,8961.68210821843,16.812492035077117
246,60,186038915.16666666,7378.0587759394275,16.293994152467583
4255,60,46723092.56666667,4544.700068953657,15.915360936270277
9101,60,174470199.36666667,6294.328515928787,15.53995002596133
736,60,315334109.71666664,7382.091012543234,15.99208985247778
740,60,182467464.38333333,7339.797129476326,16.188902550732397
7475,60,1014504391.1666666,15101.528593638122,16.73729878901351
7680,60,222944305.56666666,7302.403034907457,16.414287946150342
10086,60,741829930.0666667,9748.39131669797,15.51025251044289
10286,60,130842543.08333333,7563.426315213245,16.755128805571903
1408,60,33085375.1,4114.1985170921,15.731615952479713
407,60,192955515.23333332,6784.700532259021,16.147613275862685
7029,60,432374451.3333333,9713.049026775432,16.33620295883082
840,60,147391163.7,6519.135548641378,16.066163227272217
334,60,292783078.03333336,7873.738659560048,16.187566202722486
6770,60,593279050.1666666,9893.968706514985,16.164045730619804
5908,60,54198979.85,4922.398713696704,16.075025621398847
6970,60,65190878.85,4670.000619548349,15.552261445839148
5951,60,596152577.0333333,9739.510653072908,16.22614592370015
9760,60,320249780.53333336,9050.926255591125,16.298320983029633
5831,60,104479622.16666667,6272.874272432498,16.27603181307872
6623,60,45257680.833333336,4914.3680451991595,16.201526865848713
851,60,96423924.25,5328.9440102103945,15.629651794950945
1429,60,327815629.28333336,7567.844816320109,16.127842999577744
6976,60,352807638.23333335,9321.284410959712,16.29150085077943
9757,60,207819215.98333332,6112.5365526588,15.692292854164428
1423,60,209769906.23333332,7618.103142593377,16.17552227606787
1555,60,230025952.9,6555.76584436688,15.752795478746469
1463,60,263040159.91666666,6863.590733931651,16.087099505378426
